game_id,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct,redacted_description_len
P1G012,P1R00549,24,4,page2-136.svg,False,1.0,high,single-utterance-unidirectional,P1-076,P1-024,"['page7-186.svg', 'page7-36.svg', 'page1-133.svg', 'page1-186.svg', 'page7-126.svg', 'page6-186.svg', 'page2-165.svg', 'page6-52.svg', 'page2-136.svg', 'page6-219.svg']",4.0,rectangle coming out of top right,6.0,9.0,"(50,)",page2-136.svg,True,6.0
P1G028,P1R01211,29,4,page7-79.svg,False,0.7777777777777777,low,single-utterance-unidirectional,P1-069,P1-027,"['page1-77.svg', 'page8-183.svg', 'page6-206.svg', 'page6-121.svg', 'page6-135.svg', 'page7-79.svg', 'page1-133.svg', 'page4-5.svg', 'page7-202.svg', 'page7-20.svg']",21.0,Loch ness monster,3.0,28.0,"(41,)",page7-20.svg,False,3.0
P1G034,P1R00773,8,1,page6-52.svg,True,1.0,high,single-utterance-unidirectional,P1-084,P1-065,"['page6-155.svg', 'page7-113.svg', 'page2-34.svg', 'page7-115.svg', 'page7-44.svg', 'page3-33.svg', 'page6-52.svg', 'page5-121.svg', 'page6-175.svg', 'page5-63.svg']",15.0,It has a flat long top and a pointy edge. There is a square poking out the end,18.0,40.0,"(54,)",page6-52.svg,True,18.0
P1G033,P1R00702,16,2,page8-248.svg,False,0.6851851851851852,low,single-utterance-unidirectional,P1-099,P1-105,"['page7-22.svg', 'page3-66.svg', 'page5-232.svg', 'page7-225.svg', 'page8-248.svg', 'page4-142.svg', 'page7-157.svg', 'page8-21.svg', 'page5-45.svg', 'page5-85.svg']",4.0,Horse,1.0,10.0,"(14,)",page8-248.svg,True,1.0
P1G028,P1R00228,22,3,page6-206.svg,False,0.7333333333333333,low,single-utterance-unidirectional,P1-027,P1-069,"['page7-202.svg', 'page8-183.svg', 'page7-79.svg', 'page6-121.svg', 'page1-133.svg', 'page6-206.svg', 'page7-20.svg', 'page6-135.svg', 'page1-77.svg', 'page4-5.svg']",18.0,triangle cut out,3.0,21.0,"(42,)",page6-206.svg,True,3.0
P1G004,P1R00044,29,4,page2-100.svg,False,0.7685185185185184,low,single-utterance-unidirectional,P1-009,P1-086,"['page5-40.svg', 'page5-26.svg', 'page7-20.svg', 'page7-125.svg', 'page2-100.svg', 'page4-244.svg', 'page7-126.svg', 'page7-116.svg', 'page8-169.svg', 'page7-202.svg']",5.0,stop sign with bent pole,5.0,10.0,"(14,)",page2-100.svg,True,5.0
P1G012,P1R01496,5,0,page6-52.svg,False,1.0,high,single-utterance-unidirectional,P1-076,P1-024,"['page7-186.svg', 'page7-36.svg', 'page1-133.svg', 'page1-186.svg', 'page7-126.svg', 'page6-186.svg', 'page2-165.svg', 'page6-52.svg', 'page2-136.svg', 'page6-219.svg']",8.0,weird shape with square sticking out,6.0,26.0,"(44,)",page6-52.svg,True,6.0
P1G058,P1R01032,27,4,page9-40.svg,False,1.0,high,single-utterance-unidirectional,P1-071,P1-054,"['page1-77.svg', 'page6-219.svg', 'page2-36.svg', 'page1-95.svg', 'page1-34.svg', 'page5-26.svg', 'page4-11.svg', 'page5-85.svg', 'page9-40.svg', 'page2-133.svg']",13.0,Candle stick,2.0,16.0,"(23,)",page9-40.svg,True,2.0
P1G044,P1R00727,0,0,page6-160.svg,False,0.5592592592592593,low,single-utterance-unidirectional,P1-078,P1-068,"['page6-122.svg', 'page9-40.svg', 'page7-226.svg', 'page7-125.svg', 'page8-246.svg', 'page6-160.svg', 'page7-145.svg', 'page5-101.svg', 'page8-183.svg', 'page8-21.svg']",19.0,a fish swimming to the left,6.0,25.0,,,,6.0
P1G005,P1R00089,20,3,page5-139.svg,False,0.9925925925925926,high,single-utterance-unidirectional,P1-059,P1-036,"['page8-246.svg', 'page7-125.svg', 'page6-160.svg', 'page5-85.svg', 'page1-185.svg', 'page5-139.svg', 'page4-180.svg', 'page5-154.svg', 'page7-177.svg', 'page7-126.svg']",6.0,fountain with tube,3.0,11.0,"(23,)",page5-139.svg,True,3.0
P1G023,P1R00075,6,1,page7-40.svg,False,0.7611111111111111,low,single-utterance-unidirectional,P1-003,P1-117,"['page7-20.svg', 'page8-54.svg', 'page7-40.svg', 'page1-175.svg', 'page8-38.svg', 'page7-15.svg', 'page8-183.svg', 'page3-52.svg', 'page4-244.svg', 'page5-36.svg']",6.0,square with a scorpion tail,5.0,24.0,"(27,)",page7-40.svg,True,5.0
P1G034,P1R01532,9,1,page6-155.svg,False,1.0,high,single-utterance-unidirectional,P1-084,P1-065,"['page6-155.svg', 'page7-113.svg', 'page2-34.svg', 'page7-115.svg', 'page7-44.svg', 'page3-33.svg', 'page6-52.svg', 'page5-121.svg', 'page6-175.svg', 'page5-63.svg']",12.0,It looks like a giraffe facing left,7.0,26.0,"(34,)",page6-155.svg,True,7.0
P1G048,P1R01018,5,0,page6-109.svg,False,1.0,high,single-utterance-unidirectional,P1-016,P1-097,"['page6-245.svg', 'page6-107.svg', 'page4-142.svg', 'page7-177.svg', 'page8-18.svg', 'page5-80.svg', 'page7-217.svg', 'page5-155.svg', 'page2-131.svg', 'page6-109.svg']",8.0,a trapezoid with spiky triangles on the right side,9.0,23.0,"(48,)",page6-109.svg,True,9.0
P1G009,P1R00565,0,0,page5-71.svg,False,0.3833333333333333,low,single-utterance-unidirectional,P1-104,P1-019,"['page5-85.svg', 'page7-225.svg', 'page5-63.svg', 'page3-33.svg', 'page5-84.svg', 'page6-208.svg', 'page5-71.svg', 'page4-128.svg', 'page6-52.svg', 'page4-155.svg']",16.0,looks like an eagle head on top right,8.0,28.0,"(45,)",page5-71.svg,True,8.0
P1G045,P1R01686,16,2,page5-65.svg,True,1.0,high,single-utterance-unidirectional,P1-001,P1-095,"['page6-196.svg', 'page4-98.svg', 'page5-80.svg', 'page4-96.svg', 'page6-52.svg', 'page2-85.svg', 'page6-109.svg', 'page5-65.svg', 'page3-33.svg', 'page7-41.svg']",13.0,The 4 mountains,3.0,22.0,"(27,)",page3-33.svg,False,3.0
P1G003,P1R00083,27,4,page7-166.svg,True,1.0,high,single-utterance-unidirectional,P1-031,P1-057,"['page7-166.svg', 'page1-95.svg', 'page5-153.svg', 'page4-190.svg', 'page7-202.svg', 'page7-126.svg', 'page3-61.svg', 'page2-16.svg', 'page5-96.svg', 'page7-127.svg']",15.0,BULLDOG ONE WITH TRIANGLE HOLDIUNG IT UP,7.0,22.0,"(49,)",page7-166.svg,True,7.0
P1G043,P1R00366,25,4,page-F.svg,False,0.6685185185185186,low,single-utterance-unidirectional,P1-075,P1-066,"['page8-156.svg', 'page8-192.svg', 'page6-162.svg', 'page7-53.svg', 'page7-145.svg', 'page7-177.svg', 'page7-226.svg', 'page-F.svg', 'page7-41.svg', 'page7-36.svg']",13.0,person slumped to the left,5.0,21.0,"(34,)",page-F.svg,True,5.0
P1G052,P1R01649,23,3,page7-20.svg,False,1.0,high,single-utterance-unidirectional,P1-107,P1-108,"['page5-153.svg', 'page8-169.svg', 'page3-12.svg', 'page6-71.svg', 'page7-15.svg', 'page6-160.svg', 'page7-20.svg', 'page9-39.svg', 'page5-84.svg', 'page5-66.svg']",,,,,,,,
P1G058,P1R01137,29,4,page4-11.svg,False,0.738888888888889,low,single-utterance-unidirectional,P1-071,P1-054,"['page1-77.svg', 'page6-219.svg', 'page2-36.svg', 'page1-95.svg', 'page1-34.svg', 'page5-26.svg', 'page4-11.svg', 'page5-85.svg', 'page9-40.svg', 'page2-133.svg']",9.0,Bottom right filled in with square at top,8.0,20.0,"(25,)",page4-11.svg,True,8.0
P1G052,P1R01351,3,0,page8-169.svg,False,1.0,high,single-utterance-unidirectional,P1-108,P1-107,"['page6-71.svg', 'page7-15.svg', 'page8-169.svg', 'page5-66.svg', 'page7-20.svg', 'page9-39.svg', 'page5-153.svg', 'page3-12.svg', 'page6-160.svg', 'page5-84.svg']",,,,,,,,
P1G036,P1R00654,19,3,page2-140.svg,False,1.0,high,single-utterance-unidirectional,P1-114,P1-029,"['page1-117.svg', 'page6-206.svg', 'page1-30.svg', 'page7-81.svg', 'page9-39.svg', 'page8-247.svg', 'page2-140.svg', 'page6-228.svg', 'page1-185.svg', 'page3-33.svg']",18.0,like a bed with finger on,6.0,23.0,"(39,)",page2-140.svg,True,6.0
P1G001,P1R00004,12,2,page5-153.svg,False,0.6425925925925926,low,single-utterance-unidirectional,P1-053,P1-007,"['page2-36.svg', 'page4-197.svg', 'page1-150.svg', 'page3-33.svg', 'page5-153.svg', 'page6-124.svg', 'page7-107.svg', 'page5-40.svg', 'page8-58.svg', 'page5-45.svg']",4.0,Bowl with two handles,4.0,10.0,"(13,)",page5-153.svg,True,4.0
P1G047,P1R00324,2,0,page7-40.svg,True,0.7611111111111111,low,single-utterance-unidirectional,P1-102,P1-080,"['page3-70.svg', 'page8-21.svg', 'page5-101.svg', 'page2-165.svg', 'page1-95.svg', 'page8-156.svg', 'page7-40.svg', 'page6-171.svg', 'page3-61.svg', 'page7-29.svg']",11.0,Looks like a big letter P,6.0,18.0,"(28,)",page7-40.svg,True,6.0
P1G059,P1R01582,26,4,page9-39.svg,False,0.7407407407407408,low,single-utterance-unidirectional,P1-038,P1-058,"['page8-247.svg', 'page6-206.svg', 'page1-117.svg', 'page2-140.svg', 'page1-30.svg', 'page9-39.svg', 'page1-185.svg', 'page3-33.svg', 'page6-228.svg', 'page7-81.svg']",3.0,Pipe facing left,3.0,6.0,"(12,)",page9-39.svg,True,3.0
P1G010,P1R01677,9,1,page1-95.svg,True,1.0,high,single-utterance-unidirectional,P1-032,P1-044,"['page7-166.svg', 'page1-95.svg', 'page5-153.svg', 'page4-190.svg', 'page7-202.svg', 'page7-126.svg', 'page3-61.svg', 'page2-16.svg', 'page5-96.svg', 'page7-127.svg']",15.0,sort of like a bot with a sail,8.0,26.0,"(35,)",page1-95.svg,True,8.0
P1G041,P1R00438,5,0,page5-86.svg,False,0.4833333333333334,low,single-utterance-unidirectional,P1-004,P1-113,"['page6-208.svg', 'page5-165.svg', 'page7-41.svg', 'page8-169.svg', 'page8-38.svg', 'page5-86.svg', 'page7-125.svg', 'page2-20.svg', 'page3-33.svg', 'page7-107.svg']",4.0,A duck facing right,4.0,12.0,"(33,)",page5-86.svg,True,4.0
P1G011,P1R00278,22,3,page7-107.svg,False,0.9935185185185184,high,single-utterance-unidirectional,P1-041,P1-088,"['page5-40.svg', 'page7-107.svg', 'page8-58.svg', 'page2-36.svg', 'page6-124.svg', 'page3-33.svg', 'page5-45.svg', 'page4-197.svg', 'page1-150.svg', 'page5-153.svg']",6.0,white diamond in middle,4.0,15.0,"(23,)",page7-107.svg,True,4.0
P1G051,P1R00430,28,4,page2-34.svg,False,0.7611111111111111,low,single-utterance-unidirectional,P1-042,P1-006,"['page5-121.svg', 'page3-33.svg', 'page6-52.svg', 'page7-44.svg', 'page5-63.svg', 'page2-34.svg', 'page6-155.svg', 'page7-115.svg', 'page6-175.svg', 'page7-113.svg']",6.0,,,,,,,
P1G044,P1R00906,28,4,page6-122.svg,False,0.5666666666666667,low,single-utterance-unidirectional,P1-078,P1-068,"['page6-122.svg', 'page9-40.svg', 'page7-226.svg', 'page7-125.svg', 'page8-246.svg', 'page6-160.svg', 'page7-145.svg', 'page5-101.svg', 'page8-183.svg', 'page8-21.svg']",3.0,house,1.0,5.0,"(19,)",page6-122.svg,True,1.0
P1G046,P1R01795,15,2,page3-52.svg,False,1.0,high,single-utterance-unidirectional,P1-015,P1-045,"['page1-175.svg', 'page7-15.svg', 'page3-52.svg', 'page8-54.svg', 'page4-244.svg', 'page5-36.svg', 'page7-40.svg', 'page8-183.svg', 'page8-38.svg', 'page7-20.svg']",9.0,"tall body, stubby legs, two points on top",8.0,16.0,"(23,)",page3-52.svg,True,8.0
P1G054,P1R01265,9,1,page3-70.svg,False,1.0,high,single-utterance-unidirectional,P1-030,P1-106,"['page3-70.svg', 'page3-12.svg', 'page7-29.svg', 'page1-77.svg', 'page6-23.svg', 'page7-73.svg', 'page3-33.svg', 'page5-65.svg', 'page4-190.svg', 'page5-40.svg']",13.0,Arrow pointing left and up,5.0,20.0,"(28,)",page3-70.svg,True,5.0
P1G008,P1R00342,10,1,page1-133.svg,False,0.5444444444444445,low,single-utterance-unidirectional,P1-116,P1-074,"['page1-48.svg', 'page1-133.svg', 'page9-40.svg', 'page8-38.svg', 'page7-44.svg', 'page-F.svg', 'page5-45.svg', 'page4-195.svg', 'page6-206.svg', 'page7-55.svg']",7.0,house,1.0,10.0,"(16,)",page1-133.svg,True,1.0
P1G042,P1R00672,29,4,page7-125.svg,True,0.9935185185185184,high,single-utterance-unidirectional,P1-023,P1-039,"['page8-182.svg', 'page5-139.svg', 'page6-1.svg', 'page7-127.svg', 'page5-56.svg', 'page3-201.svg', 'page7-125.svg', 'page5-84.svg', 'page6-162.svg', 'page8-206.svg']",5.0,a stone wall facing left,5.0,10.0,"(19,)",page7-125.svg,True,5.0
