game_id,configuration_file,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
P2vCPjLp9Ptewueeu,exp2_train_and_test_14.json,MZeHSqgWht5tFNWPQ,10,1,page5-75.svg,False,0.6944444444444444,low,single-utterance-unidirectional,35,203,"['page9-34.svg', 'page5-36.svg', 'page7-41.svg', 'page5-75.svg', 'page3-21.svg', 'page2-20.svg', 'page7-226.svg', 'page8-176.svg', 'page2-86.svg', 'page7-144.svg']",8.0,flamingo facing left,3.0,11.0,"(22,)",page5-75.svg,True
BFp4Qb2pMJ9KqvuLm,exp2_train_and_test_29.json,3CqQKfkH5gxhrjux8,28,4,page7-115.svg,False,0.6,low,single-utterance-unidirectional,49,133,"['page7-115.svg', 'page2-34.svg', 'page5-75.svg', 'page5-128.svg', 'page6-186.svg', 'page1-132.svg', 'page9-25.svg', 'page7-117.svg', 'page6-228.svg', 'page4-241.svg']",3.0,bridge with pointy ends and square feet,7.0,9.0,"(11,)",page7-115.svg,True
KLSQpeJJBJFt4uCqW,exp2_train_and_test_53.json,9CMTz6H82NCqsy4e4,5,0,page7-127.svg,False,0.6222222222222222,low,single-utterance-unidirectional,18,208,"['page8-159.svg', 'page8-58.svg', 'page5-165.svg', 'page7-127.svg', 'page7-157.svg', 'page9-40.svg', 'page3-70.svg', 'page4-232.svg', 'page8-234.svg', 'page5-45.svg']",8.0,bird,1.0,11.0,"(22,)",page7-127.svg,True
MmhSzH4XndEquDjWg,exp2_train_and_test_49.json,xkhqcDZXd9CNPdSrF,27,4,page7-44.svg,False,1.0,high,single-utterance-unidirectional,226,125,"['page7-186.svg', 'page2-140.svg', 'page8-192.svg', 'page2-114.svg', 'page5-153.svg', 'page5-80.svg', 'page7-44.svg', 'page8-18.svg', 'page7-115.svg', 'page2-85.svg']",7.0,square with triangle legs,4.0,18.0,"(23,)",page7-44.svg,True
6sdzX3zNscvD52sKe,exp2_train_and_test_32.json,QTLhFqoi25WJ3yN8T,18,3,page7-115.svg,False,0.6,low,single-utterance-unidirectional,158,33,"['page4-232.svg', 'page5-45.svg', 'page7-115.svg', 'page5-155.svg', 'page2-131.svg', 'page7-155.svg', 'page7-157.svg', 'page8-217.svg', 'page5-233.svg', 'page1-34.svg']",5.0,The bridge or bedstead,4.0,14.0,"(24,)",page7-115.svg,True
P2vCPjLp9Ptewueeu,exp2_train_and_test_14.json,dCxZqr5CftZ3iZQKM,1,0,page2-86.svg,True,0.7777777777777777,low,single-utterance-unidirectional,35,203,"['page9-34.svg', 'page5-36.svg', 'page7-41.svg', 'page5-75.svg', 'page3-21.svg', 'page2-20.svg', 'page7-226.svg', 'page8-176.svg', 'page2-86.svg', 'page7-144.svg']",12.0,Top of a bear's head,5.0,24.0,"(44,)",page2-86.svg,True
ix7nCebmqDhnteL7t,exp2_train_and_test_11.json,qsqxeLy2bePb2MKky,8,1,page7-177.svg,True,1.0,high,single-utterance-unidirectional,129,180,"['page6-162.svg', 'page7-226.svg', 'page7-177.svg', 'page8-156.svg', 'page7-53.svg', 'page7-41.svg', 'page7-36.svg', 'page-F.svg', 'page7-145.svg', 'page8-192.svg']",5.0,C with a extra block,5.0,9.0,"(18,)",page7-177.svg,True
22ivtGw9ahgyetDB6,exp2_train_and_test_28.json,4RsvALsziNzoh79c5,18,3,page5-63.svg,False,0.9935185185185184,high,single-utterance-unidirectional,53,161,"['page6-155.svg', 'page7-113.svg', 'page2-34.svg', 'page7-115.svg', 'page7-44.svg', 'page3-33.svg', 'page6-52.svg', 'page5-121.svg', 'page6-175.svg', 'page5-63.svg']",,,,,,,
ZrWCQ66uhbQhnQkMT,exp2_train_and_test_45.json,4ygdmGxY7a6Kg2hLp,28,4,page8-22.svg,False,0.3444444444444444,low,single-utterance-unidirectional,182,95,"['page8-22.svg', 'page7-144.svg', 'page9-34.svg', 'page2-36.svg', 'page7-216.svg', 'page7-115.svg', 'page7-22.svg', 'page7-107.svg', 'page1-185.svg', 'page6-31.svg']",,,,,,,
WrqiaWaE2zELAL6fT,exp2_train_and_test_44.json,JBdtustsqdE7LZB9K,8,1,page4-197.svg,False,1.0,high,single-utterance-unidirectional,194,207,"['page8-21.svg', 'page4-197.svg', 'page6-53.svg', 'page4-96.svg', 'page2-34.svg', 'page5-101.svg', 'page7-20.svg', 'page5-190.svg', 'page8-22.svg', 'page6-226.svg']",5.0,house falling of side,4.0,12.0,"(16,)",page4-197.svg,True
